City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Boende,CD,2021-10-20 23:48:36,-0.2167,20.8667,69.44,99,100,1.88
232,Urumqi,CN,2021-10-20 23:47:41,43.801,87.6005,41.95,49,0,4.47
233,Matamoros,MX,2021-10-20 23:50:43,25.5333,-103.25,83.5,33,0,5.7
234,Torbay,CA,2021-10-20 23:50:43,47.6666,-52.7314,48.97,96,90,10.36
235,Salalah,OM,2021-10-20 23:48:29,17.0151,54.0924,77.09,78,75,3.44
236,Semenivka,UA,2021-10-20 23:50:44,52.1783,32.5818,52.07,60,100,16.78
237,San Carlos De Bariloche,AR,2021-10-20 23:46:54,-41.1456,-71.3082,56.95,51,75,20.71
238,Ishigaki,JP,2021-10-20 23:50:45,24.3448,124.1572,75.33,100,75,3.44
239,Nianzishan,CN,2021-10-20 23:50:45,47.5167,122.8833,37.87,52,99,2.51
240,Rio Grande,BR,2021-10-20 23:46:26,-32.035,-52.0986,60.03,66,20,12.86
241,Uvira,CD,2021-10-20 23:50:46,-3.4067,29.1458,73.22,80,99,5.08
242,Komsomolskoye,RU,2021-10-20 23:50:47,55.2567,47.5461,33.39,70,93,10.83
243,Krasnyy Chikoy,RU,2021-10-20 23:50:47,50.3643,108.7512,26.19,88,12,2.62
244,Gold Coast,AU,2021-10-20 23:47:25,-28.0,153.4333,78.28,84,90,1.01
245,Clyde River,CA,2021-10-20 23:48:24,70.4692,-68.5914,28.63,86,40,11.5
246,Kvarkeno,RU,2021-10-20 23:50:49,52.0833,59.725,34.34,70,99,15.23
247,Darnah,LY,2021-10-20 23:50:49,32.767,22.6367,67.19,74,36,9.82
248,Kurchum,KZ,2021-10-20 23:50:50,48.5722,83.6542,45.88,35,44,5.79
249,Olafsvik,IS,2021-10-20 23:48:54,64.8945,-23.7142,43.45,76,95,22.93
250,Souillac,MU,2021-10-20 23:47:12,-20.5167,57.5167,72.36,83,40,5.75
251,Nizwa,OM,2021-10-20 23:50:51,22.9333,57.5333,73.62,61,53,0.34
252,Tandil,AR,2021-10-20 23:50:51,-37.3217,-59.1332,55.2,91,2,7.25
253,Nemuro,JP,2021-10-20 23:50:52,43.3236,145.575,48.63,66,100,14.83
254,Avarua,CK,2021-10-20 23:47:52,-21.2078,-159.775,77.05,65,75,9.22
255,Alta Floresta,BR,2021-10-20 23:50:53,-9.8756,-56.0861,82.22,78,20,1.14
256,The Valley,AI,2021-10-20 23:50:53,18.217,-63.0578,82.54,83,40,9.22
257,Fairlie,GB,2021-10-20 23:50:54,55.756,-4.8556,40.23,60,87,17.18
258,Maceio,BR,2021-10-20 23:50:54,-9.6658,-35.7353,80.04,89,20,8.05
259,Faya,SA,2021-10-20 23:47:47,18.3851,42.4509,59.11,29,3,6.64
260,Marzuq,YE,2021-10-20 23:48:34,14.4,46.4667,72.73,56,80,1.59
261,Kirkwall,GB,2021-10-20 23:50:55,58.9848,-2.9587,44.94,81,75,34.52
262,Belmonte,BR,2021-10-20 23:50:50,-15.8631,-38.8828,79.3,90,75,2.53
263,Athens,GR,2021-10-20 23:50:51,37.9795,23.7162,61.16,72,0,1.01
264,Almaznyy,RU,2021-10-20 23:50:56,48.0448,40.045,35.74,49,61,9.31
